"stateFlagCode","state","GunLawsStrengthRank_2024","StrictestGunLawsGiffordGrade_2024","GunDeathRateByState_2024","GunDeathRankByState_2024"
,"Wyoming",50,"F",21.5,8
,"Arkansas",48,"F",21.9,7
,"Missouri",48,"F",21.4,10
,"Kentucky",47,"F",18.4,16
,"Idaho",46,"F",17.9,18
,"Montana",45,"F",21.5,9
,"Mississippi",43,"F",29.4,1
,"South Dakota",43,"F",12.3,36
,"Kansas",42,"F",16.3,22
,"Arizona",41,"F",18.5,14
,"Alaska",40,"F",23.5,5
,"Oklahoma",39,"F",19.9,11
,"Louisiana",38,"F",28.3,2
,"Alabama",34,"F",25.6,3
,"North Dakota",34,"F",12.8,34
,"South Carolina",34,"F",19.1,12
,"West Virginia",34,"F",16.8,19
,"Iowa",32,"F",10.5,41
,"Tennessee",32,"F",22,6
,"Georgia",31,"F",18.6,13
,"Texas",29,"F",14.9,24
,"Utah",29,"F",14.8,25
,"New Hampshire",28,"D-",9.6,42
,"Indiana",27,"D-",18.3,17
,"Ohio",26,"D-",15,23
,"Florida",24,"C-",13.7,30
,"North Carolina",24,"C-",16.4,21
,"Nebraska",23,"C-",10.6,40
,"Wisconsin",22,"C",12.7,35
,"Maine",21,"C+",14,27
,"Nevada",20,"B-",18.4,15
,"New Mexico",19,"B-",25.3,4
,"Vermont",18,"B-",12,38
,"Michigan",17,"B-",13.9,28
,"Pennsylvania",16,"B",13.6,31
,"Minnesota",15,"B",8.9,43
,"Virginia",14,"B+",13.8,29
,"Delaware",13,"A-",12,39
,"Rhode Island",12,"A-",4.8,47
,"Oregon",11,"A-",14.2,26
,"Colorado",10,"A-",16.6,20
,"Washington",9,"A-",13,33
,"Maryland",8,"A-",12.3,37
,"Hawaii",7,"A-",4.9,46
,"Illinois",6,"A-",13.5,32
,"Massachusetts",5,"A-",3.7,50
,"New York",4,"A",4.7,48
,"Connecticut",3,"A",6.2,45
,"New Jersey",2,"A",4.6,49
,"California",1,"A",8,44